REGISTER_NAME	BN_NAME	BN_STATUS	BN_REG_DT	BN_CANCEL_DT	BN_RENEW_DT	BN_STATE_NUM	BN_STATE_OF_REG	BN_ABN
BUSINESS NAMES	Warby Wares	Deregistered	31/05/2015	12/10/2017	31/05/2017			48697696446
BUSINESS NAMES	Axie Fins 'N' Things	Deregistered	02/06/2015	17/03/2017	02/06/2018			83454778861
BUSINESS NAMES	""Its Not About The Dog! """"Hobart""""""	Deregistered	16/02/2016	30/06/2017	16/02/2017			32054085698
BUSINESS NAMES	DG & EG HEINTZE	Registered	08/08/1998		08/08/2013	B1396100R	VIC	
BUSINESS NAMES	cars by AK	Deregistered	10/02/2016	31/10/2017	10/02/2019			54683947187
BUSINESS NAMES	Bohome, with Soul	Deregistered	16/02/2016	30/06/2017	16/02/2017			72147488528
